,Total Bsmt SF,Garage_Age,House_Age,Garage Area,Mas Vnr Area,1st Flr SF,Gr Liv Area,Overall Qual,Garage Cars,Full Bath,Lot Config_Inside,Condition 1_Artery,Exterior 1st_Plywood,Heating QC_Ex,Heating QC_TA,Neighborhood_Blmngtn,Exterior 2nd_MetalSd,BsmtFin Type 2_Rec,Garage Type_Basment,Exterior 2nd_HdBoard,Exterior 1st_AsbShng,Neighborhood_SawyerW,House Style_2.5Fin,Functional_Min1,Exterior 1st_Wd Sdng,House Style_SLvl,Land Contour_HLS,Bsmt Exposure_No,Exterior 2nd_Plywood,Exterior 2nd_AsphShn,Bsmt Cond_Po,Bsmt Qual_TA,Kitchen Qual_Fa,Neighborhood_OldTown,Sale Type_COD,Bldg Type_Duplex,House Style_1Story,Sale Condition_Partial,Exterior 1st_Stucco,Exterior 2nd_Wd Shng,House Style_2.5Unf,BsmtFin Type 1_LwQ,Foundation_CBlock,Neighborhood_NoRidge,Exterior 1st_CemntBd,Functional_Sev,Neighborhood_NAmes,Bsmt Exposure_Av,Exterior 2nd_Brk Cmn,Roof Style_Mansard,Exterior 1st_AsphShn,Lot Shape_IR3,Exter Cond_Gd,Condition 1_Feedr,MS Zoning_RH,Garage Finish_RFn,Bsmt Cond_Gd,Central Air_N,Bsmt Cond_Fa,BsmtFin Type 2_LwQ,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,House Style_2Story,Land Contour_Lvl,Exterior 2nd_VinylSd,Heating QC_Gd,Neighborhood_MeadowV,Functional_Min2,Condition 1_PosA,Exterior 1st_WdShing,Sale Type_ConLI,Sale Type_Oth,Exter Qual_Fa,Sale Type_ConLD,Foundation_Slab,Condition 1_RRAn,Lot Config_FR3,Heating QC_Fa,Garage Finish_Unf,Neighborhood_StoneBr,Garage Type_Detchd,Sale Type_New,Neighborhood_Gilbert,Bsmt Qual_Fa,Bsmt Qual_Ex,Garage Qual_TA,MS Zoning_RM,Lot Config_Corner,Exter Cond_TA,Neighborhood_Crawfor,Bldg Type_1Fam,Neighborhood_Somerst,BsmtFin Type 1_BLQ,Neighborhood_BrDale,Bldg Type_Twnhs,Bsmt Cond_Ex,Condition 1_RRNn,Exterior 1st_HdBoard,Sale Condition_AdjLand,Bldg Type_TwnhsE,Exterior 2nd_CmentBd,Paved Drive_Y,Functional_Sal,Electrical_FuseA,BsmtFin Type 2_Unf,Garage Qual_Gd,House Style_SFoyer,Lot Shape_IR1,Garage Type_CarPort,Roof Style_Hip,Exterior 2nd_Stone,Electrical_SBrkr,Neighborhood_ClearCr,Neighborhood_IDOTRR,Exterior 2nd_BrkFace,House Style_1.5Unf,Kitchen Qual_Ex,Neighborhood_Sawyer,Garage Type_Attchd,MS Zoning_C (all),Paved Drive_N,Functional_Mod,Neighborhood_NWAmes,Neighborhood_BrkSide,BsmtFin Type 2_ALQ,Lot Shape_Reg,Kitchen Qual_Gd,Neighborhood_Blueste,Neighborhood_GrnHill,Roof Style_Gable,BsmtFin Type 2_GLQ,Sale Condition_Abnorml,Land Contour_Low,Foundation_Stone,Garage Qual_Ex,Exterior 1st_BrkComm,Exter Cond_Fa,Garage Qual_Fa,Garage Finish_Fin,Bldg Type_2fmCon,Electrical_FuseF,Exterior 2nd_Wd Sdng,BsmtFin Type 2_BLQ,Land Contour_Bnk,Exter Qual_TA,Bsmt Exposure_Gd,BsmtFin Type 1_GLQ,Sale Type_Con,Neighborhood_Veenker,Exter Qual_Ex,Foundation_PConc,Sale Type_WD ,Sale Condition_Normal,Roof Style_Shed,Sale Type_ConLw,Roof Style_Flat,Sale Condition_Family,Exterior 1st_MetalSd,Exterior 2nd_Stucco,Sale Condition_Alloca,Lot Config_FR2,Exter Cond_Ex,Paved Drive_P,Exterior 2nd_AsbShng,MS Zoning_FV,Condition 1_PosN,BsmtFin Type 1_ALQ,BsmtFin Type 1_Unf,Functional_Typ,Kitchen Qual_TA,Functional_Maj1,Garage Type_2Types,Electrical_FuseP,Mas Vnr Type_None,Neighborhood_CollgCr,Exterior 1st_VinylSd,Bsmt Exposure_Mn,BsmtFin Type 1_Rec,Functional_Maj2,House Style_1.5Fin,Sale Type_CWD,Neighborhood_Mitchel,Neighborhood_Timber,Mas Vnr Type_Stone,Neighborhood_SWISU,Condition 1_RRAe,Roof Style_Gambrel,Neighborhood_Edwards,Neighborhood_NridgHt,Foundation_BrkTil,Lot Config_CulDSac,Bsmt Qual_Gd,Exter Qual_Gd,Bsmt Cond_TA,Neighborhood_NPkVill,Exterior 1st_BrkFace,MS Zoning_RL,Neighborhood_Greens,Condition 1_Norm,Central Air_Y,Lot Shape_IR2,Exterior 2nd_ImStucc,Garage Type_BuiltIn
0,990.0,31.899425287356323,13,0.0,0.0,990,990,4,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
1,1108.0,82.0,88,315.0,0.0,1160,2068,7,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
2,1368.0,1.0,1,474.0,94.0,1368,1368,7,2.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0
3,1358.0,0.0,1,484.0,128.0,1358,1358,7,2.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0
4,941.0,9.0,9,688.0,0.0,941,1837,6,2.0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
5,876.0,24.0,24,264.0,0.0,923,923,5,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
6,1554.0,1.0,1,627.0,108.0,1554,1554,8,2.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0
7,1127.0,17.0,32,480.0,84.0,1127,1127,6,2.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
8,768.0,59.0,59,308.0,0.0,768,1328,5,1.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
9,1052.0,25.0,42,668.0,172.0,1052,1052,5,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
